cd,txt,addr,addr2,city,state,zip,phone,contact1,nation,fax,cvo_type,homehtml,ver_elec,newcd,email,payfee,link,autofax,autoemail,latitude,longitude,inactive,extension,note,cme_reqhours,username,password,LegacyCD,obsolete,lastvalidated,validatedby,CertificationBody,isValidate,LicNumRequired,isWFV,isCredStrm,Needs_Search_Info,Search_Info_Text,isManual
9318,VA New Jersey Health Care System-East Orange                                                                                                                                                                                                                                                                ,385 Tremont Ave,                                                                           ,East Orange                   ,NJ,07018-1023,              ,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1634040,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAAASF    ,American Association for Accreditation of Ambulatory Surgery Facilities                                                                                                                                                                                                                                     ,Po Box 9500,American Association For Accreditation Of Ambulato                         ,Gurnee                        ,IL,60031,(847) 775-1970,                                                                                                    ,                    ,(847) 775-1985,   ,,0,      ,                                                                                                    ,0,1635772,1,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAAHC     ,Accreditation Association Ambulatory Health Care                                                                                                                                                                                                                                                            ,5250 Old Orchard Rd,Ste 200                                                                    ,Skokie                        ,IL,60077-4461,(847) 853-6060,                                                                                                    ,                    ,(847) 853-9028,   ,http://www.aaahc.org,1,      ,info@aaahc.org                                                                                      ,0,1635773,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAAP      ,American Academy of Addiction Psychiatry                                                                                                                                                                                                                                                                    ,400 Massasoit Ave,Ste 307                                                                    ,East Providence               ,RI,02914-2012,(401) 524-3076,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1638047,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AABIM     ,American Audiology Board of Intraoperative Monitoring                                                                                                                                                                                                                                                       ,563 Carter Ct,Ste B                                                                      ,Kimberly                      ,WI,54136,(920) 560-5631,                                                                                                    ,United States       ,              ,   ,,0,      ,info@aabiom.com                                                                                     ,0,1637782,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AABIP     ,The American Association of Bronchology & Interventional Pulmonology                                                                                                                                                                                                                                        ,445 Minnesota St,Ste 1500                                                                   ,Saint Paul                    ,MN,55101-2269,(651) 256-9506,                                                                                                    ,                    ,              ,   ,www.aabronchology.org,0,      ,info@aabronchology.org                                                                              ,0,1637464,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AABMA     ,American Academy/Board of Medical Acupuncture                                                                                                                                                                                                                                                               ,2512 Artesia Blvd Ste 200,                                                                           ,Redondo Beach                 ,CA,90278-3279,(310) 379-8261,                                                                                                    ,                    ,              ,   ,,0,      ,info@medicalacupuncture.org                                                                         ,0,1635774,0,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AACADD    ,American Academy of Health Care Providers in the Addictive Disorders                                                                                                                                                                                                                                        ,314 W Superior St,Ste 508                                                                    ,Duluth                        ,MN,55802,(218) 727-3940,                                                                                                    ,United States       ,(218) 722-0346,   ,https://americanacademy.org/,0,      ,info@americanacademy.org                                                                            ,0,1638258,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AACN      ,American Association of Critical Care Nurse Certification                                                                                                                                                                                                                                                   ,101 Columbia,                                                                           ,Aliso Viejo                   ,CA,          ,              ,                                                                                                    ,                    ,              ,   ,https://www.aacn.org/dm/CustomerProfile/Login.aspx?mid=2869&,0,      ,certification@aacn.org                                                                              ,0,1637324,1,1,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
AACP      ,American Association of Community Psychiatrists                                                                                                                                                                                                                                                             ,94 Auburn St,Ste 110                                                                    ,Portland                      ,ME,04103-2141,(207) 878-6170,                                                                                                    ,                    ,(207) 878-6172,   ,,0,      ,                                                                                                    ,0,1637679,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AACPFA    ,"American Academy of CPR & First Aid, Inc.                                                                                                                                                                                                                                                                   ",,                                                                           ,                              ,  ,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637322,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AADE      ,American Association of Diabetes Educators                                                                                                                                                                                                                                                                  ,100 W Monroe St Ste 400,                                                                           ,Chicago                       ,IL,60603,(800) 338-3633,                                                                                                    ,United States       ,              ,   ,https://www.diabeteseducator.org/practice/diabetes-education-accreditation-program,0,      ,                                                                                                    ,0,1635775,1,1,,,1,,,0,,,,0,,,,0,1,1,1,0,,0
AADERM    ,American Academy of Dermatology                                                                                                                                                                                                                                                                             ,PO Box 1968,                                                                           ,Des Plaines                   ,IL,60017,              ,                                                                                                    ,United States       ,(847) 240-1859,   ,,0,      ,                                                                                                    ,0,1637795,1,1,,,0,,,0,,,,0,,,,0,0,1,1,0,,0
AAEMPS    ,American Academy of Emergency Medicine-Procedural Sedation & Advanced Resuscitation Expertise                                                                                                                                                                                                               ,555 E Wells St,Ste 1100                                                                   ,Milwaukee                     ,WI,53202-3800,              ,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1637263,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAFE      ,American Academy of Facial Esthetics                                                                                                                                                                                                                                                                        ,2120 S Green Rd,                                                                           ,South Euclid                  ,OH,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637323,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAHFNU    ,American Association of Heart Failure Nurses                                                                                                                                                                                                                                                                ,1120 Route 73,Ste 200                                                                    ,Mount Laurel                  ,NJ,08054-5113,(888) 452-2436,                                                                                                    ,United States       ,(856) 439-0525,   ,,0,      ,                                                                                                    ,0,1638149,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAHKS     ,American Association of Hip & Knee Surgeons                                                                                                                                                                                                                                                                 ,9400 W Higgins Rd,Ste 230                                                                    ,Rosemont                      ,IL,60018-4976,(847) 698-1200,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1637966,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AALA      ,American Association for Laboratory Accreditation                                                                                                                                                                                                                                                           ,5202 Presidents Ct Ste 220,                                                                           ,Frederick                     ,MD,21703-8515,(301) 644-3248,                                                                                                    ,                    ,(240) 454-9449,   ,,0,      ,                                                                                                    ,0,1635776,1,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAMA      ,American Association of Medical Assistants                                                                                                                                                                                                                                                                  ,20 N Wacker Dr,Ste 1575                                                                   ,Chicago                       ,IL,60606,(312) 899-1500,                                                                                                    ,United States       ,(312) 899-1259,   ,https://www.aama-ntl.org/cma-aama-exam/verify-cma-status,1,      ,                                                                                                    ,0,1635777,1,1,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
AAMFT432  ,American Association for Marriage & Family Therapy                                                                                                                                                                                                                                                          ,112 S Alfred St,                                                                           ,Alexandria                    ,VA,22314,(703) 838-9808,                                                                                                    ,                    ,(703) 838-9805,   ,https://aamft.org/,0,      ,                                                                                                    ,0,1637159,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAMRO     ,American Association of Medical Review Officers                                                                                                                                                                                                                                                             ,Po Box 12873,Aamro                                                                      ,Research Triangle Park        ,NC,          ,(800) 489-1839,                                                                                                    ,                    ,              ,   ,https://www.aamro.com/site_page.cfm?pk_association_webpage_menu=7412&pk_association_webpage=14757,0,      ,                                                                                                    ,0,1637325,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AANA      ,National Board of Certification & Recertification for Nurse Anesthetists                                                                                                                                                                                                                                    ,8725 W Higgins Rd,Ste 525                                                                    ,Chicago                       ,IL,60631-2713,(855) 285-4658,                                                                                                    ,                    ,(708) 669-7636,   ,https://portal.nbcrna.com/credential-verification,1,      ,                                                                                                    ,0,1635778,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
AANARE    ,National Board of Certification & Recertification for Nurse Anesthetists/Recertification                                                                                                                                                                                                                    ,8726 W Higgins Rd,Ste 526                                                                    ,Chicago                       ,IL,60632,(855) 285-4658,                                                                                                    ,United States       ,(708) 669-7636,   ,https://portal.nbcrna.com/credential-verification,1,      ,                                                                                                    ,0,1635779,0,0,,,0,,,0,,,,1,,,,1,1,1,1,0,,0
AANGN     ,American Academy of Nurse Practitioners-Gerontology Nurse Practitioner                                                                                                                                                                                                                                      ,Po Box 12926,"Capital Station, Lbj Bldg                                                  ",Austin                        ,TX,78711,              ,                                                                                                    ,United States       ,              ,   ,http://www.aanpcert.org,1,      ,                                                                                                    ,0,1637266,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AANP      ,American Academy of Nurse Practitioners                                                                                                                                                                                                                                                                     ,PO Box 12926,Certification Program                                                      ,Austin                        ,TX,78711,(512) 637-0500,                                                                                                    ,United States       ,(512) 637-0540,   ,https://www.aanpcert.org,1,      ,                                                                                                    ,40,1635780,0,0,30266900,97742800,0,,,0,,,,0,,,,0,0,1,1,0,,0
AANPEV    ,American Academy of Nurse Practitioners-Emergency Verification                                                                                                                                                                                                                                              ,PO Box 12926                                                                                                                                          ,Emergency/Rush Verification Process Only                                   ,Austin                        ,TX,78711,(512) 637-0500,                                                                                                    ,                    ,(512) 637-0540,   ,http://www.aanpcert.org,1,      ,                                                                                                    ,45,1635781,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AANPFN    ,American Academy of Nurse Practitioners-Family Nurse Practitioner                                                                                                                                                                                                                                           ,Po Box 12926,"Capital Station, Lbj Bldg                                                  ",Austin                        ,TX,78711-2926,              ,                                                                                                    ,USA                 ,              ,   ,http://www.aanpcert.org,1,      ,                                                                                                    ,0,1637265,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AANPPE    ,American Association of Naturopathic Physicians-Pediatric Association of Naturopathic Physicians                                                                                                                                                                                                            ,PO Box 20665,                                                                           ,Juneau                        ,AK,99802,              ,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1638172,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAOMS432  ,American Association of Oral & Maxillofacial Surgeons                                                                                                                                                                                                                                                       ,9700 Bryn Mawr Ave,                                                                           ,Rosemont                      ,IL,60018-5701,(847) 678-6200,                                                                                                    ,                    ,(847) 678-6286,   ,https://www.aaoms.org/,0,      ,                                                                                                    ,0,1637160,1,1,,,0,,,0,,,,0,,,,0,0,1,1,0,,0
