Record_Data,TFIDF_Matched,TFIDF_Max_Scores,W2VEC_Matched,W2VEC_Max_Scores,GPT3_Matched,GPT3_Max_Scores
"American Board of Psychiatry and Neurology,7 Parkway North,Deerfield,IL,60015","American Board of Psychiatry & Neurology-Clinical Neurophysiology,7 Parkway North Blvd,Deerfield,60015-2544,United States",0.6987885639274625,American Board of Psychiatry and Neurology Consutation-Liaison Psychiatry,0.99985784,"American Board of Psychiatry & Neurology-Clinical Neurophysiology,7 Parkway North Blvd,Deerfield,60015-2544,United States",0.9733335220287
"American Board of Urology,600 Peter Jefferson Pkway,Ste 150,Charlottesville,VA,22911","American Board of Urology,600 Peter Jefferson Pkwy,Ste 150,Charlottesville,22911-8850,United States",0.7506942206097672,American Board of Magnetic Resonance Safety,0.99961394,"American Board of Urology,600 Peter Jefferson Pkwy,Ste 150,Charlottesville,22911-8850,United States",0.9928577772379016
"American Board of Allergy and Immunology,1835 Market St,Ste 1210,Philadelphia,PA,19103","American Board of Allergy & Immunology,510 Walnut St Ste 1700,Philadelphia,19106-3699",0.38608560435867073,"American Board of Integrative Holistic Medicine,5313 Colorado St,Duluth,55804-1615,United States",0.9997941,"American Board of Allergy & Immunology,510 Walnut St Ste 1700,Philadelphia,19106-3699",0.9752295345571894
"American Osteopathic Board of Internal Medicine,142 E. Ontario St.,Chicago,IL,60611-2864","American Osteopathic Board of Internal Medicine/Hospital Medicine,142 E Ontario St,Chicago,60611,United States",0.6801481591776715,"American Osteopathic Board of Preventive Medicine/Occupational/Environmental,142 E Ontario St,Occupational/Environmental Medicine,Chicago,60611",0.9998192,"American Osteopathic Board of Internal Medicine/Hospital Medicine,142 E Ontario St,Chicago,60611,United States",0.9802731354036055
"American Board of Podiatric Medicine,1060 Aviation Blvd,Ste 100,Hermosa Beach,CA,90254",U.S. Department of Transportation Federal Aviation Administration,0.20633268672765626,American Board of Psychiatry and Neurology Consutation-Liaison Psychiatry,0.99972975,"American Board of Podiatric Medicine,3812 Sepulveda Blvd,Ste 530,Torrance,90505-2491,United States",0.9330967178646272
"American Osteopathic Board of Surgery,142 E. Ontario St.,Chicago,IL,60611","American Osteopathic Board of Radiology,142 E Ontario St,C/O Aoa,Chicago,60611",0.6620174305118534,"American Osteopathic Board of Preventive Medicine/Occupational/Environmental,142 E Ontario St,Occupational/Environmental Medicine,Chicago,60611",0.9996073,"American Osteopathic Association-Orthopedic Surgery Orthopedic Sports Medicine,142 E Ontario St,Chicago,60611,United States",0.9577177450702928
"American Association of Public Health Dentistry,P.O. Box 7317,Springfield,IL,62791-7317",American Osteopathic Association-Preventative Medicine/Public Health-Community,0.18951043352523458,"Idaho Department of Health & Welfare-Bureau of Emergency Medical Services & Preparedness,PO Box 83720,Boise,83720,United States",0.9995999,"American Board of Dental Public Health,2047 Chrysler Dr Ne,Atlanta,30345-3473,United States",0.8892760140967115
"American Osteopathic Board of Orthopedic Surgery,142 E. Ontario St.,Chicago,IL,60611","American Osteopathic Association-Orthopedic Surgery Orthopedic Sports Medicine,142 E Ontario St,Chicago,60611,United States",0.7727764416608744,"American Osteopathic Board of OMM,142 E Ontario St,Chicago,60611,United States",0.99966073,"American Osteopathic Association-Orthopedic Surgery Orthopedic Sports Medicine,142 E Ontario St,Chicago,60611,United States",0.9704712872218916
"American Osteopathic Board of Pathology,142 E. Ontario St.,Chicago,IL,60611","American Osteopathic Board of Radiology,142 E Ontario St,C/O Aoa,Chicago,60611",0.6601003360061694,"American Osteopathic Board of Preventive Medicine/Occupational/Environmental,142 E Ontario St,Occupational/Environmental Medicine,Chicago,60611",0.9995465,"American Osteopathic Association,142 E Ontario St,Dept Of Certification,Chicago,60611,United States",0.9462120909174532
"American Osteopathic Board of Anesthesiology,142 E. Ontario St.,Chicago,IL,60611-2864","American Osteopathic Board of Emergency Medicine-Medical Toxicology,142 E Ontario St Ste 200,Chicago,60611-2864",0.6369012870136376,"American Osteopathic Board of Preventive Medicine/Occupational/Environmental,142 E Ontario St,Occupational/Environmental Medicine,Chicago,60611",0.999562,"American Osteopathic Board of Emergency Medicine,142 E Ontario St Ste 217,Chicago,60611",0.9366474764457599
"American Academy of Nurse Practitioners Certification Board,2600 Via Fortuna ,Ste 240,Austin,TX,78746","American Academy of Nurse Practitioners,PO Box 12926,Certification Program,Austin,78711,United States",0.35785568067415474,"American Association of Nurse Anesthetists,222 S Prospect Ave,Park Ridge,60068,United States",0.9996741,"American Academy of Nurse Practitioners,PO Box 12926,Certification Program,Austin,78711,United States",0.9568196775317173
"American Board of Clinical Neurophysiology,2908 Greenbriar Dr,Ste A,Springfield,IA,62704","American Board of Neurodiagnostic Credentialing & Accreditation,2908 Greenbriar Dr,Ste A,Springfield,62704,United States",0.611262732102981,"American Board of Otolaryngology/Plastic Surgery Head-Neck,5615 Kirby Dr,Ste 600,Houston,77005",0.9997871,"American Board of Neurodiagnostic Credentialing & Accreditation,2908 Greenbriar Dr,Ste A,Springfield,62704,United States",0.9527507259163814
"American Osteopathic Board of Neurology and Psychiatry,142 E Ontario St,Chicago,IL,60611","American Osteopathic Board of Radiology,142 E Ontario St,C/O Aoa,Chicago,60611",0.5709733761010523,"American Osteopathic Board of OMM,142 E Ontario St,Chicago,60611,United States",0.9998794,"American Osteopathic Board of Neuromusculoskeletal Medicine,142 E Ontario St,C/O Aoa,Chicago,60611",0.9576405303036463
"American Association of Critical Care Nurses,27071 Aliso Creek Rd,Aliso Viejo,CA,92656-4109","American Association of Critical-Care Nurses,101 Columbia,Ste 200,Aliso Viejo,92656,United States",0.6654322064793857,"American Association of Critical Care Nurse Certification,101 Columbia,Aliso Viejo",0.9997342,"American Association of Critical-Care Nurses,101 Columbia,Ste 200,Aliso Viejo,92656,United States",0.9715328330982637
"American Society of Anesthesia Technologists and Technicians,7044 South 13th Street,Oak Creek,WI,53154",American Society of Anesthesia Technologists & Technicians,0.5438085786406588,"American Board of Family Medicine Designation of Focused Practice in Hospital Medicine,1648 Mcgrathiana Pkwy,Ste 550,Lexington,40511-1342,United States",0.99934036,American Society of Anesthesia Technologists & Technicians,0.8958401514407172
"American Academy of Pediatric Dentistry,211 East Chicago Ave,Ste 1600,Chicago,IL,60611-2637","American Board of Endodontics,211 E Chicago Ave Ste 1100,Chicago,60611-2687",0.4221020524232321,"American College of Endocrinologists,245 Riverside Ave,Ste 200,Jacksonville,32202-4933,United States",0.9997582,"American Board of Endodontics,211 E Chicago Ave Ste 1100,Chicago,60611-2687",0.9081833936061177
"American Board of Pain Medicine,85 W. Algonquin Rd,Ste 550,Arlington Heights,IL,60005","American Osteopathic Board of Family Physicians,330 E Algonquin Rd,Ste 6,Arlington Heights,60005",0.5682006192533059,"American Board of Anesthesiology/Pain Management,4208 Six Forks Rd,Ste 1500,Raleigh,27609,United States",0.9997107,"American Osteopathic Board of Family Physicians,330 E Algonquin Rd,Ste 6,Arlington Heights,60005",0.9280033330008218
"Academy of Nutrition and Dietetics,120 South Riverside Plaza,Ste 2190,Chicago,IL,60606","Commission on Dietetic Registration,120 S Riverside Plz,Ste 2190,Chicago,60606-3912",0.45886303075778667,"Addiction Professionals of South Carolina,1215 Anthony Ave,Columbia,29201,United States",0.9995269,"American Dietetic Association,120 S Riverside Plz Ste 2000,Chicago,60606-6995",0.9558573085013051
"American Board of Surgical Assistants,4951 Hidden Lakes Dr,Harshaw,WI,54529-9583","National Surgical Assistant Association,1775 I St NW Ste 1150,National Commission for Certification of Surgical Assistants,Washington,20006",0.18880203357385306,American Board of Behavioral Psychology,0.99966365,"American Board of Surgical Assistants,26221 E Kettle Cir,Aurora,80016-2020",0.8826912015174071
"American Board of Sleep Medicine,2510 N Frontage Rd,Darien,IL,60561","American Academy of Sleep Medicine,2510 N Frontage Rd,2510 North Frontage Rd,Darien,60561-1511",0.829341957087879,"American Osteopathic Board of Otolaryngology/Sleep Medicine,PO Box 24810,Huber Heights,45424",0.9996595,"American Academy of Sleep Medicine,2510 N Frontage Rd,2510 North Frontage Rd,Darien,60561-1511",0.9634556466100954
"American Board of Cardiovascular Medicine,PO Box 1285,Sun City Center,FL,33575",Cardiovascular Credentialing International,0.22941958491235492,"The American Board of Ophthalmology,PO Box 1887,Doylestown,18901,United States",0.9997571,"American Board of Internal Medicine/Cardiovascular Disease,510 Walnut St Ste 1700,Philadelphia,19106-3699",0.9028084335307449
"American Medical Technologists (AMT),10700 W Higgins Rd,https://www.americanmedtech.org/Verify,Rosemont,IL,60018","American Medical Technologists,10700 W Higgins Rd,Ste 150,Rosemont,60018-3722",0.5181146346323804,"American College of Foot & Ankle Surgeons,8725 W Higgins Rd,Ste 555,Chicago,60631-2724",0.999478,"American Medical Technologists,10700 W Higgins Rd,Ste 150,Rosemont,60018-3722",0.9703929655309613
"American Board of Professional Psychology,university of Michigan Health System,1500 East Medical Center Dr,Ann Arbor,MI,48109-5295","American Board of Clinical Neuropsychology,1500 E Medical Center Dr,Spc 5295,Ann Arbor,48109-5295",0.6371630435476595,"Alaska Board of Licensed Professional Counselors,PO Box 110806,Dept of Commerce & Economic Development,Juneau,99811-0806",0.9997368,"American Board of Clinical Neuropsychology,1500 E Medical Center Dr,Spc 5295,Ann Arbor,48109-5295",0.9419511077445928
"American Osteopathic Association (AOA),142 E Ontario St,Chicago,IL,60611","American Osteopathic Board of Radiology,142 E Ontario St,C/O Aoa,Chicago,60611",0.7832476803078157,"American Osteopathic Board of Internal Medicine/Sleep Medicine,142 E Ontario St,C/O Aoa,Chicago,60611",0.99906045,"American Osteopathic Association,142 E Ontario St,Dept Of Certification,Chicago,60611,United States",0.9687292235885655
"Medical-Surgical Nursing Certification Board,Box 56online application, consent release and $$,Pitman,NJ,08071-0056","Nephrology Nursing Certification Commission,PO Box 56,Pitman,08071-0056",0.45950446848625304,"California Substance Use Disorder Counselor Certification Agency,1026 W El Norte Pkwy,Pmb 143,Escondido,92026-3341,United States",0.999368,"Nephrology Nursing Certification Commission,PO Box 56,Pitman,08071-0056",0.8977070930173154
"Nevada State Board of Pharmacy,555 Double Eagle Court, #1100,Reno,NV,89511",Washington State Board of Pharmacy,0.24325362384600915,"Maine State Board of Boilers & Pressure Vessels,35 State House Sta,Augusta,04333-0035",0.99969625,"Nevada State Board of Pharmacy,431 W Plumb Ln,Reno,89509-3766",0.9484161486112547
"Nevada Board of Nursing,4220 S Maryland Pkwy,Bldg B Ste 300,Las Vegas,NV,89119-7533","Nevada Board of Nursing,2500 W Sahara Ave Ste 300,Las Vegas,89102-4324",0.3423388852042297,"Virginia Board of Pharmacy,9960 Mayland Dr Ste 300,Richmond,23233-1485",0.9997324,"Nevada Board of Nursing,2500 W Sahara Ave Ste 300,Las Vegas,89102-4324",0.9591133462827356
"State Medical Board of Ohio,30 E Broad St 3rd FL,Columbus,OH,432156127","Ohio State Medical Board,30 E Broad St Fl 3,Columbus,43215-6127",0.6002514332933626,"Texas State Board of Pharmacy,333 Guadalupe St Ste 3-600,Austin,78701-3943",0.99960464,"Ohio State Medical Board,30 E Broad St Fl 3,Columbus,43215-6127",0.9657382789630361
"Nevada Board of Osteopathic Medicine,2950 E. Flamingo Rd. #E-3,Las Vegas,NV,89121-5208","American Board of Chiropractic Orthopedists,1680 E Flamingo Rd Ste A,Las Vegas,89119-5130",0.3382600426288116,"American Osteopathic Board of Ophthalmology/Otolaryngology-Head/Neck Surgery,PO Box 24810,Huber Heights,45424",0.99961793,"Nevada State Board of Osteopathic Medicine,901 American Pacific Dr Ste D,Henderson,89014-7912",0.9364848715677558
"Hawaii Medical Examiners,Dept of Comm and Cons Affairs,P.O. Box 3469,Honolulu,HI,96809","Hawaii Board of Medical Examiners,PO Box 3469,Honolulu,96801",0.4488888925742467,"Idaho Department of Health & Welfare-Bureau of Emergency Medical Services & Preparedness,PO Box 83720,Boise,83720,United States",0.999612,"Hawaii Board of Medical Examiners,PO Box 3469,Honolulu,96801",0.967968690847885
"Medical Board of California,1430 Howe Avenue, Suite 54,Sacramento,CA,95825-3236","California Board of Podiatric Medicine,1430 Howe Ave,License Verification,Sacramento,95825-3204",0.5006144268982001,"Virgin Islands Board of Medical Examiners,48 Sugar Estate,St. Thomas,802",0.9996682,"Medical Board of California,2005 Evergreen St,Ste 1200,Sacramento,95815-5401,United States",0.9305155886106272
"Montana Board of Medical Examiners,P.O. Box 200513,111 N. Jackson,Helena,MT,59620-0513","Montana Board Speech-Language Pathology, Audiology,PO Box 200513,Helena,59620-0513",0.6488760947743566,"Texas State Board of Podiatric Medical Examiners,PO Box 12216,Austin,78711-2216",0.99977475,"Montana Board of Medical Examiners,301 S. Park,4th Floor, Room 430,Helena,59601-6282",0.9697131540443216
